# Syntetic vertical spectrum (w/o radiative transfer) 
# Wavelength in nm
# Intensity in R
9.580000000e+01 	3.368076000e+04
1.026000000e+02 	5.169380910e-01
1.084000000e+02 	6.850150545e+03
1.134000000e+02 	1.527989342e+03
1.200000000e+02 	1.285816627e+04
1.216000000e+02 	4.954234574e+00
1.243000000e+02 	2.459009306e+03
1.304000000e+02 	1.186726501e+04
1.354000000e+02 	4.972631654e+03
1.356000000e+02 	1.522191274e+03
1.494000000e+02 	4.156954837e+03
2.470000000e+02 	-0.000000000e+00
2.972290000e+02 	9.647637479e+02
3.914000000e+02 	6.520652109e+04
4.278000000e+02 	1.861185677e+04
5.200000000e+02 	1.051729053e+02
5.577340000e+02 	1.612204671e+04
6.300304000e+02 	1.001785120e+03
6.363776000e+02 	3.238452785e+02
6.391733000e+02 	1.530257909e-01
7.320000000e+02 	-0.000000000e+00
7.330000000e+02 	-0.000000000e+00
8.446000000e+02 	2.979786922e+03
#	AeroPlanets 1.01
#	Copyright G Gronoff 2009
#	Report bugs : guillaume.gronoff@gmail.com
#
#	Launched :Tue Dec 19 13:05:08 2017
# Planet:Earth
# Electron impact ionization used
# Electron impact ionization error: -27.5547% (>0 : gain)

